Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16
15004.55,16071.26,-11487.9,13656.74,9913.18,3788.62,4449.79,14485.54,13585.66,-6846.07,-8466.39,11023.88,30143.2,5576.31,-2353.37,1743.7
9606.87,6718.13,-6200.19,1892.3,2404.33,239.52,557.09,9697.26,10416.63,-2826.24,-964.79,9143.92,44090.96,4260.15,1864.94,533.22
-10940.46,-13850.66,-9617.6,-13688.12,-9460.69,-5466.07,-7438.03,-9117.9,-1671.02,1083.08,-2388.51,1440.61,-36683.23,-2957.94,7508.58,-3378.78
-9430.38,-9532.3,-14093.67,-7841.97,-4060.6,-2370.54,-4811.88,-7066.01,-1009.32,-1393.68,-10915.25,3496.8,-57104.77,-2488.55,4765.21,-4129.8
12115.0,13565.81,-11781.87,12592.7,8694.11,3121.29,3482.31,12499.63,11679.95,-6166.94,-8827.15,9731.32,17955.78,4712.11,-1947.02,1265.47
12065.38,10281.98,-7207.9,5480.56,5110.41,1493.45,1983.76,12273.79,12096.76,-4283.76,-2866.21,10527.4,50365.99,5385.61,367.73,929.12
-7541.84,-9946.7,-7453.59,-10265.62,-7320.29,-4263.64,-5596.97,-6305.07,37.01,931.8,-1174.27,2181.17,-21328.12,-1814.78,6294.07,-2439.47
-10711.67,-11343.6,-13429.82,-10542.42,-5187.39,-2659.95,-5184.71,-8474.98,-1640.98,-886.2,-10386.59,3232.33,-59821.04,-3096.61,5539.03,-4835.75
8852.9,9761.63,-11433.45,9009.54,7128.51,2503.57,2652.44,9426.09,8498.04,-5362.81,-9301.9,7943.9,3072.2,3137.92,-877.62,151.54
14615.36,12429.63,-8045.82,7097.13,7383.85,2658.87,3066.84,14990.33,13205.32,-5451.86,-5275.64,11925.91,51777.63,6187.59,-479.31,726.61
-5434.42,-8340.06,-7200.93,-9409.19,-6910.18,-4131.94,-5338.13,-4565.92,1488.89,343.05,-831.48,3221.33,-9045.48,-998.85,5717.67,-2065.57
-11256.7,-12898.48,-12651.98,-12386.71,-6748.44,-3505.92,-6461.17,-10180.59,-1635.88,184.54,-8446.01,3238.5,-58790.54,-3300.46,6862.7,-4527.03
6331.62,7170.08,-10229.95,6963.28,5685.21,2112.51,1673.43,6740.66,7324.58,-4010.44,-9116.29,7464.05,-7457.61,2298.39,149.94,-296.92
15392.13,14249.77,-8917.54,9617.6,8706.45,3421.16,4113.7,15977.38,14533.82,-5623.25,-5687.36,12813.72,50232.41,7067.62,-878.96,1775.09
